OrderID,OrderDate,Quantity,UnitPrice,TotalPrice,Discount_Applied,PaymentMethod,ProductID,ProductName,ProductCategory,SKU,CustomerID,CustomerName,CustomerEmail,CustomerPhone,BillingAddress,ShippingCity,ShippingState,ShippingCountry,SalesRepID,SalesRepName,Region,SalesChannel,LeadSource,OrderStatus,ShippingDate,ShippingMethod,WarehouseCode,Notes,COGS_Percentage,Lead_Source
850597,2024-05-06,3,"$1,956.20","$5,868.60",0.0,Credit Card,ad305847-e2ad-42e9-b5d8-2d748588b0d9,Iterate Front-End Web Services,Furniture,SKU-1334,c72abc7d-cfd5-4d31-8310-f1dccf03fc95,Caldwell LLC,heidi81@example.com,+1-361-442-6433x1298,"6944 Stein Pines Suite 777
North Chadland, ND 03541",Steveberg,AR,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,Asia-Pacific,Direct,Referral,Cancelled,2024-05-12,Standard,WH-008,,0.71,
868855,2024-07-27,4,$514.55,"$1,749.47",,Bank Transfer,934cf22c-9564-4318-a081-33ada53a7c32,Productize Collaborative E-Markets,Furniture,SKU-2270,08e77ec5-91d4-4059-ac8c-a3a22d1126e7,"Aguilar, Arnold and Dickson",shieldsdebra@example.org,+1-825-575-0879x553,"997 Carrie View Apt. 626
Lake Shirley, OH 49544",Lake Arthur,SD,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,APAC,Partner,Referral,Returned,2024-07-29,Express,WH-008,Condition me their car article.,0.73,
ORD-49270,2024-01-14,1,$524.54,$445.86,0.15,Crypto,a561200a-f638-4e09-a216-1873df420b66,Incentivize Dynamic Channels,electronics,SKU-1038,08e77ec5-91d4-4059-ac8c-a3a22d1126e7,"Aguilar, Arnold and Dickson",shieldsdebra@example.org,+1-825-575-0879x553,"8996 Mccarthy Camp
Marcburgh, TN 14491",East Curtisfort,NJ,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,N. America,Reseller,Cold Call,Returned,2024-01-19,Express,WH-007,,0.6,
880801,2024-03-03,2,"$2,202.28","$3,490.10",0.15,Credit Card,9338c8f2-dcd0-47c2-8b6c-c94dcb0bc7f8,Visualize Killer Deliverables,office_supplies,SKU-5993,c72abc7d-cfd5-4d31-8310-f1dccf03fc95,Caldwell LLC,heidi81@example.com,+1-361-442-6433x1298,"9790 Christian Road
Lake Jason, MN 28392",Ingramland,MD,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,EMEA,Direct,Trade Show,Shipped,2024-03-06,Standard,WH-006,,0.71,
850411,2023-06-25,2,$86.48,$155.66,0.1,Credit Card,a561200a-f638-4e09-a216-1873df420b66,Incentivize Dynamic Channels,office_supplies,SKU-1038,191669a5-13a2-420d-9a82-ab74f18cf5cf,Hebert Group,baldwinjose@example.org,4899893423,"6684 Wilson Centers
East Michael, AZ 75262",North David,AZ,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,NA,Direct,Web,Shipped,2023-06-28,Standard,WH-004,Anything determine information drop.,0.62,
ORD-62789,2023-12-11,94,$395.28,"$37,156.32",0.0,Credit Card,de72bb0f-6763-41cd-bb8a-7a24b3b9a531,Expedite Distributed Relationships,Software,SKU-4544,e36c273e-0c1f-4b61-a474-513ad87f63f5,Haynes-Hines,gerald06@example.com,451.822.8730x6688,"543 Joanna Common
Burkemouth, PW 27932",East Williamland,SD,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,"Europe, Middle East, Africa",Direct,Web,Returned,2023-12-15,Overnight,WH-001,,0.56,
ORD-85903,2025-04-01,4,$360.54,"$1,370.05",0.05,Bank Transfer,f13b0237-19f1-4ad8-bf92-e6c678ef480b,Integrate Synergistic Models,ELEC,SKU-8122,6256bc5b-d6c5-4c44-93a7-92b331fe6fe9,Saunders-Hurst,grantalexandria@example.net,(361)419-5962,"96322 John Drive Apt. 810
Jessicaburgh, DE 81780",Port Stephenhaven,FM,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,"Europe, Middle East, Africa",Partner,Organic,Pending,2025-04-15,Express,WH-008,,0.6,
811285,2024-05-15,1,"$2,154.04","$1,723.23",0.2,Credit Card,f13b0237-19f1-4ad8-bf92-e6c678ef480b,Integrate Synergistic Models,Office Supplies,SKU-8122,9f1bc98d-549f-49a8-bccc-17649a665171,Hayden Inc,kmorris@example.org,(956)290-3084x4963,"41952 Erica Crossroad
New Danafort, WI 19799",South Curtishaven,MN,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,APAC,Reseller,Trade Show,Shipped,2024-05-18,Express,WH-002,,0.75,
ORD-32437,2023-02-22,1,"$2,132.60","$2,132.60",0.0,PayPal,a561200a-f638-4e09-a216-1873df420b66,Incentivize Dynamic Channels,Software,SKU-1038,c72abc7d-cfd5-4d31-8310-f1dccf03fc95,Caldwell LLC,heidi81@example.com,+1-361-442-6433x1298,"7950 Donald Tunnel Apt. 206
Christopherview, MT 42048",New Glen,MI,USA,,,"Europe, Middle East, Africa",Online,Referral,Shipped,2023-02-27,Overnight,WH-007,,0.62,
ORD-37139,2023-05-30,1,"$1,095.26","$1,095.26",0.0,Crypto,05149cf0-b995-4264-9fdf-a50a4c5e25c9,Empower Mission-Critical Users,electronics,SKU-6995,d3505d31-8309-4681-8495-0b3bdc787773,Hart-Bennett,scooper@example.com,+1-342-339-5867,"0553 Hartman Courts Apt. 869
New Alexisport, HI 88243",Mcmahonborough,NE,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,North America,Direct,Referral,Cancelled,2023-05-31,Express,WH-006,Mouth throw ever together.,0.67,
